Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
resting_epoch,diglabform,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 36px;"" border=""0""> <tbody> <tr style=""height: 18px;""> <td style=""width: 23.4088%; height: 18px;"">Resting epoch (start/stop)</td> <td style=""width: 23.4088%; height: 18px;"">{resting_start}</td> <td style=""width: 23.4088%; height: 18px;"">{resting_stop}</td> </tr> </tbody> </table></div>",,"in ??",,,,,,,,,,,
pharmacology_comment,diglabform,,notes,Pharmacology comments,,,,,,,,,,,,,
protocol,diglabform,,radio,Protocol,"iclamp, IClamp | vclamp, VClamp | evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity","Is this a duplicate with the table below?",,,,,,,,,,,
diglab_label_7,diglabform,Additional Metadata,descriptive,,,,,,,,,,,,,,
comments_setup,diglabform,,notes,Comments on the setup / recording,,"Comments on the setup and recording",,,,,,,,,,,
data_quality,diglabform,,radio,Electrophysiology Data quality,"very_good, Very good | good, Good | noisy, Noisy | no_data, No data","Observed quality of the recorded data",,,,,,y,,,,,
incomplete,diglabform,,radio,Incomplete session,"yes, yes","Was this session not completed?",,,,,,,,,,,
special_event_0,diglabform,,text,"Special event (alarm, fight, perturbation,...)",,"Unexpected interruption or distraction during the recording",,,,,,,,,,,
special_event_time_0,diglabform,,text,Time of the special event,,"Time at which the unexpected interruption or distraction occurred",time,,,,,,,,,,
special_event_1,diglabform,,text,"2nd special event (alarm, fight, perturbation,...)",,"Unexpected interruption or distraction during the recording",,,,,[special_event_0] <> "",,,,,,
special_event_time_1,diglabform,,text,Time of the special event,,"Time at which the unexpected interruption or distraction occurred",time,,,,[special_event_0] <> "",,,,,,
special_event_2,diglabform,,text,"3rd pecial event (alarm, fight, perturbation,...)",,"Unexpected interruption or distraction during the recording",,,,,[special_event_1] <> "",,,,,,
special_event_time_2,diglabform,,text,Time of the special event,,"Time at which the unexpected interruption or distraction occurred",time,,,,[special_event_1] <> "",,,,,,
comments_subject,diglabform,,notes,Comments on the subject,,"Comments on the subject",,,,,,,,,,,
diglab_label_8,diglabform,Recording Metadata,descriptive,,,,,,,,,,,,,,
stimulation,diglabform,,radio,Stimulation,"yes, yes","Does the recording involve stimulation?",,,,,,,,,,,
stimulation_type,diglabform,,checkbox,Stimulation modality,"stim_type_opto, Optical | stim_type_electric, Electrical","The modalities stimulated recorded [tick all applicable]",,,,,[stimulation] == 'yes',,,,,,
pair_recording,diglabform,,radio,Pair recording,"no, no | a, A | b, B","What does A and B stand for here?",,,,,,,,,,,
tree_0,diglabform,,text,,,,,,,,,,,,,,
tree_1,diglabform,,text,,,,,,,,[tree_0] <> "",,,,,,
tree_2,diglabform,,text,,,,,,,,[tree_1] <> "",,,,,,
tree_3,diglabform,,text,,,,,,,,[tree_2] <> "",,,,,,
tree_4,diglabform,,text,,,,,,,,[tree_3] <> "",,,,,,
tree_5,diglabform,,text,,,,,,,,[tree_4] <> "",,,,,,
tree_6,diglabform,,text,,,,,,,,[tree_5] <> "",,,,,,
tree_7,diglabform,,text,,,,,,,,[tree_6] <> "",,,,,,
tree_8,diglabform,,text,,,,,,,,[tree_7] <> "",,,,,,
tree_9,diglabform,,text,,,,,,,,[tree_8] <> "",,,,,,
tree_10,diglabform,,text,,,,,,,,[tree_9] <> "",,,,,,
tree_11,diglabform,,text,,,,,,,,[tree_10] <> "",,,,,,
tree_12,diglabform,,text,,,,,,,,[tree_11] <> "",,,,,,
tree_13,diglabform,,text,,,,,,,,[tree_12] <> "",,,,,,
tree_14,diglabform,,text,,,,,,,,[tree_13] <> "",,,,,,
tree_15,diglabform,,text,,,,,,,,[tree_14] <> "",,,,,,
tree_16,diglabform,,text,,,,,,,,[tree_15] <> "",,,,,,
tree_17,diglabform,,text,,,,,,,,[tree_16] <> "",,,,,,
tree_18,diglabform,,text,,,,,,,,[tree_17] <> "",,,,,,
tree_19,diglabform,,text,,,,,,,,[tree_18] <> "",,,,,,
mode_0,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,,,,,,,
mode_1,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,[tree_0] <> "",,,,,,
mode_2,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,[tree_1] <> "",,,,,,
mode_3,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,[tree_2] <> "",,,,,,
mode_4,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,[tree_3] <> "",,,,,,
mode_5,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,[tree_4] <> "",,,,,,
mode_6,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,[tree_5] <> "",,,,,,
mode_7,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,[tree_6] <> "",,,,,,
mode_8,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,[tree_7] <> "",,,,,,
mode_9,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,[tree_8] <> "",,,,,,
mode_10,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,[tree_9] <> "",,,,,,
mode_11,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,[tree_10] <> "",,,,,,
mode_12,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,[tree_11] <> "",,,,,,
mode_13,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,[tree_12] <> "",,,,,,
mode_14,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,[tree_13] <> "",,,,,,
mode_15,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,[tree_14] <> "",,,,,,
mode_16,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,[tree_15] <> "",,,,,,
mode_17,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,[tree_16] <> "",,,,,,
mode_18,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,[tree_17] <> "",,,,,,
mode_19,diglabform,,dropdown,,"iclamp, IClamp | vclamp, VClamp",,,,,,[tree_18] <> "",,,,,,
act_0,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,,,,,,,
act_1,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,[tree_0] <> "",,,,,,
act_2,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,[tree_1] <> "",,,,,,
act_3,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,[tree_2] <> "",,,,,,
act_4,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,[tree_3] <> "",,,,,,
act_5,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,[tree_4] <> "",,,,,,
act_6,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,[tree_5] <> "",,,,,,
act_7,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,[tree_6] <> "",,,,,,
act_8,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,[tree_7] <> "",,,,,,
act_9,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,[tree_8] <> "",,,,,,
act_10,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,[tree_9] <> "",,,,,,
act_11,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,[tree_10] <> "",,,,,,
act_12,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,[tree_11] <> "",,,,,,
act_13,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,[tree_12] <> "",,,,,,
act_14,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,[tree_13] <> "",,,,,,
act_15,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,[tree_14] <> "",,,,,,
act_16,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,[tree_15] <> "",,,,,,
act_17,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,[tree_16] <> "",,,,,,
act_18,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,[tree_17] <> "",,,,,,
act_19,diglabform,,dropdown,,"evoked_activity, Evoked activity | spontaneous_activity, Spontaneous activity",,,,,,[tree_18] <> "",,,,,,
stim_0,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,,,,,,,
stim_1,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,[tree_0] <> "",,,,,,
stim_2,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,[tree_1] <> "",,,,,,
stim_3,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,[tree_2] <> "",,,,,,
stim_4,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,[tree_3] <> "",,,,,,
stim_5,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,[tree_4] <> "",,,,,,
stim_6,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,[tree_5] <> "",,,,,,
stim_7,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,[tree_6] <> "",,,,,,
stim_8,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,[tree_7] <> "",,,,,,
stim_9,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,[tree_8] <> "",,,,,,
stim_10,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,[tree_9] <> "",,,,,,
stim_11,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,[tree_10] <> "",,,,,,
stim_12,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,[tree_11] <> "",,,,,,
stim_13,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,[tree_12] <> "",,,,,,
stim_14,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,[tree_13] <> "",,,,,,
stim_15,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,[tree_14] <> "",,,,,,
stim_16,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,[tree_15] <> "",,,,,,
stim_17,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,[tree_16] <> "",,,,,,
stim_18,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,[tree_17] <> "",,,,,,
stim_19,diglabform,,dropdown,,"stim_steps, Steps | stim_ramp, Ramp | stim_pulse, Pulse",,,,,,[tree_18] <> "",,,,,,
pharm_0,diglabform,,text,,,,,,,,,,,,,,
pharm_1,diglabform,,text,,,,,,,,[tree_0] <> "",,,,,,
pharm_2,diglabform,,text,,,,,,,,[tree_1] <> "",,,,,,
pharm_3,diglabform,,text,,,,,,,,[tree_2] <> "",,,,,,
pharm_4,diglabform,,text,,,,,,,,[tree_3] <> "",,,,,,
pharm_5,diglabform,,text,,,,,,,,[tree_4] <> "",,,,,,
pharm_6,diglabform,,text,,,,,,,,[tree_5] <> "",,,,,,
pharm_7,diglabform,,text,,,,,,,,[tree_6] <> "",,,,,,
pharm_8,diglabform,,text,,,,,,,,[tree_7] <> "",,,,,,
pharm_9,diglabform,,text,,,,,,,,[tree_8] <> "",,,,,,
pharm_10,diglabform,,text,,,,,,,,[tree_9] <> "",,,,,,
pharm_11,diglabform,,text,,,,,,,,[tree_10] <> "",,,,,,
pharm_12,diglabform,,text,,,,,,,,[tree_11] <> "",,,,,,
pharm_13,diglabform,,text,,,,,,,,[tree_12] <> "",,,,,,
pharm_14,diglabform,,text,,,,,,,,[tree_13] <> "",,,,,,
pharm_15,diglabform,,text,,,,,,,,[tree_14] <> "",,,,,,
pharm_16,diglabform,,text,,,,,,,,[tree_15] <> "",,,,,,
pharm_17,diglabform,,text,,,,,,,,[tree_16] <> "",,,,,,
pharm_18,diglabform,,text,,,,,,,,[tree_17] <> "",,,,,,
pharm_19,diglabform,,text,,,,,,,,[tree_18] <> "",,,,,,
exp_comment_0,diglabform,,text,,,,,,,,,,,,,,
exp_comment_1,diglabform,,text,,,,,,,,[tree_0] <> "",,,,,,
exp_comment_2,diglabform,,text,,,,,,,,[tree_1] <> "",,,,,,
exp_comment_3,diglabform,,text,,,,,,,,[tree_2] <> "",,,,,,
exp_comment_4,diglabform,,text,,,,,,,,[tree_3] <> "",,,,,,
exp_comment_5,diglabform,,text,,,,,,,,[tree_4] <> "",,,,,,
exp_comment_6,diglabform,,text,,,,,,,,[tree_5] <> "",,,,,,
exp_comment_7,diglabform,,text,,,,,,,,[tree_6] <> "",,,,,,
exp_comment_8,diglabform,,text,,,,,,,,[tree_7] <> "",,,,,,
exp_comment_9,diglabform,,text,,,,,,,,[tree_8] <> "",,,,,,
exp_comment_10,diglabform,,text,,,,,,,,[tree_9] <> "",,,,,,
exp_comment_11,diglabform,,text,,,,,,,,[tree_10] <> "",,,,,,
exp_comment_12,diglabform,,text,,,,,,,,[tree_11] <> "",,,,,,
exp_comment_13,diglabform,,text,,,,,,,,[tree_12] <> "",,,,,,
exp_comment_14,diglabform,,text,,,,,,,,[tree_13] <> "",,,,,,
exp_comment_15,diglabform,,text,,,,,,,,[tree_14] <> "",,,,,,
exp_comment_16,diglabform,,text,,,,,,,,[tree_15] <> "",,,,,,
exp_comment_17,diglabform,,text,,,,,,,,[tree_16] <> "",,,,,,
exp_comment_18,diglabform,,text,,,,,,,,[tree_17] <> "",,,,,,
exp_comment_19,diglabform,,text,,,,,,,,[tree_18] <> "",,,,,,
rs_0,diglabform,,text,,,,,,,,,,,,,,
rs_1,diglabform,,text,,,,,,,,[tree_0] <> "",,,,,,
rs_2,diglabform,,text,,,,,,,,[tree_1] <> "",,,,,,
rs_3,diglabform,,text,,,,,,,,[tree_2] <> "",,,,,,
rs_4,diglabform,,text,,,,,,,,[tree_3] <> "",,,,,,
rs_5,diglabform,,text,,,,,,,,[tree_4] <> "",,,,,,
rs_6,diglabform,,text,,,,,,,,[tree_5] <> "",,,,,,
rs_7,diglabform,,text,,,,,,,,[tree_6] <> "",,,,,,
rs_8,diglabform,,text,,,,,,,,[tree_7] <> "",,,,,,
rs_9,diglabform,,text,,,,,,,,[tree_8] <> "",,,,,,
rs_10,diglabform,,text,,,,,,,,[tree_9] <> "",,,,,,
rs_11,diglabform,,text,,,,,,,,[tree_10] <> "",,,,,,
rs_12,diglabform,,text,,,,,,,,[tree_11] <> "",,,,,,
rs_13,diglabform,,text,,,,,,,,[tree_12] <> "",,,,,,
rs_14,diglabform,,text,,,,,,,,[tree_13] <> "",,,,,,
rs_15,diglabform,,text,,,,,,,,[tree_14] <> "",,,,,,
rs_16,diglabform,,text,,,,,,,,[tree_15] <> "",,,,,,
rs_17,diglabform,,text,,,,,,,,[tree_16] <> "",,,,,,
rs_18,diglabform,,text,,,,,,,,[tree_17] <> "",,,,,,
rs_19,diglabform,,text,,,,,,,,[tree_18] <> "",,,,,,
percentile_0,diglabform,,text,,,,,,,,,,,,,,
percentile_1,diglabform,,text,,,,,,,,[tree_0] <> "",,,,,,
percentile_2,diglabform,,text,,,,,,,,[tree_1] <> "",,,,,,
percentile_3,diglabform,,text,,,,,,,,[tree_2] <> "",,,,,,
percentile_4,diglabform,,text,,,,,,,,[tree_3] <> "",,,,,,
percentile_5,diglabform,,text,,,,,,,,[tree_4] <> "",,,,,,
percentile_6,diglabform,,text,,,,,,,,[tree_5] <> "",,,,,,
percentile_7,diglabform,,text,,,,,,,,[tree_6] <> "",,,,,,
percentile_8,diglabform,,text,,,,,,,,[tree_7] <> "",,,,,,
percentile_9,diglabform,,text,,,,,,,,[tree_8] <> "",,,,,,
percentile_10,diglabform,,text,,,,,,,,[tree_9] <> "",,,,,,
percentile_11,diglabform,,text,,,,,,,,[tree_10] <> "",,,,,,
percentile_12,diglabform,,text,,,,,,,,[tree_11] <> "",,,,,,
percentile_13,diglabform,,text,,,,,,,,[tree_12] <> "",,,,,,
percentile_14,diglabform,,text,,,,,,,,[tree_13] <> "",,,,,,
percentile_15,diglabform,,text,,,,,,,,[tree_14] <> "",,,,,,
percentile_16,diglabform,,text,,,,,,,,[tree_15] <> "",,,,,,
percentile_17,diglabform,,text,,,,,,,,[tree_16] <> "",,,,,,
percentile_18,diglabform,,text,,,,,,,,[tree_17] <> "",,,,,,
percentile_19,diglabform,,text,,,,,,,,[tree_18] <> "",,,,,,
mode_time_0,diglabform,,text,,,,time,,,,,,,,,,
mode_time_1,diglabform,,text,,,,time,,,,[tree_0] <> "",,,,,,
mode_time_2,diglabform,,text,,,,time,,,,[tree_1] <> "",,,,,,
mode_time_3,diglabform,,text,,,,time,,,,[tree_2] <> "",,,,,,
mode_time_4,diglabform,,text,,,,time,,,,[tree_3] <> "",,,,,,
mode_time_5,diglabform,,text,,,,time,,,,[tree_4] <> "",,,,,,
mode_time_6,diglabform,,text,,,,time,,,,[tree_5] <> "",,,,,,
mode_time_7,diglabform,,text,,,,time,,,,[tree_6] <> "",,,,,,
mode_time_8,diglabform,,text,,,,time,,,,[tree_7] <> "",,,,,,
mode_time_9,diglabform,,text,,,,time,,,,[tree_8] <> "",,,,,,
mode_time_10,diglabform,,text,,,,time,,,,[tree_9] <> "",,,,,,
mode_time_11,diglabform,,text,,,,time,,,,[tree_10] <> "",,,,,,
mode_time_12,diglabform,,text,,,,time,,,,[tree_11] <> "",,,,,,
mode_time_13,diglabform,,text,,,,time,,,,[tree_12] <> "",,,,,,
mode_time_14,diglabform,,text,,,,time,,,,[tree_13] <> "",,,,,,
mode_time_15,diglabform,,text,,,,time,,,,[tree_14] <> "",,,,,,
mode_time_16,diglabform,,text,,,,time,,,,[tree_15] <> "",,,,,,
mode_time_17,diglabform,,text,,,,time,,,,[tree_16] <> "",,,,,,
mode_time_18,diglabform,,text,,,,time,,,,[tree_17] <> "",,,,,,
mode_time_19,diglabform,,text,,,,time,,,,[tree_18] <> "",,,,,,
